Moisture,OM,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
double,double,double,double,double,double,double
out,out,in,in,in,in,in
0.205888302,3,-0.589739511,0.020785487,0.329837794,0.156987562,0.053440986
0.227296698,2.6,0.89334679,-0.086775682,0.305692679,-0.101086182,0.014679619
0.199933537,2.5,1.091859847,-0.115169033,0.339525084,-0.107604981,-0.036393743
0.206924661,2.8,0.839386343,-0.231561825,0.406907181,-0.146981137,0.006420744
0.226046247,2.9,-0.342138366,-0.118314955,0.350893234,0.032600182,0.074780053
0.225170457,3.3,-0.558282139,-0.081746951,0.331234373,0.024503375,0.011717654
0.258814284,3.5,-0.3997821,-0.076394458,0.404755203,0.023444643,-0.029431735
0.239194247,3.4,-0.458345212,-0.068317265,0.373680603,0.042169438,0.020989226
0.241576718,3.3,-0.564187394,-0.087896413,0.359316717,0.047884228,0.002807801
0.214261239,3.2,0.119785437,-0.064887015,0.292481169,0.071749303,-0.007545563
0.209633374,3.1,0.582751084,-0.152676795,0.297442821,-0.061509017,0.107041057
0.169411474,3.5,-1.308491625,0.264699909,0.277537796,0.144364535,0.084448639
0.190614368,3.5,-0.73724911,0.130727241,-0.09552039,0.428543781,0.029949957
0.168263218,3.6,-1.913367336,0.124590465,0.305319185,0.075328615,0.045659015
0.234543727,3.7,-1.366403904,0.056888401,0.12250363,0.274558713,0.020953864
0.209175678,3.7,-0.942690661,0.140902454,0.192721324,0.160956759,0.01030793
0.218559457,3.7,-1.53941788,0.136469442,0.276346663,0.078980544,0.048327948
0.203965836,3.7,-1.747803667,0.189890849,0.314863099,0.121838442,0.048105847
0.196926523,3.5,-1.151340467,0.29012991,0.227863498,0.089991841,0.071604109
0.156004603,3.4,-1.119080556,0.175990746,0.183487715,0.203644196,0.023672483
0.202032641,3.5,-1.150616444,0.288880667,0.180307114,0.130204134,0.059569102
0.218542934,3.5,-1.014010963,0.159152077,0.1901908,0.174301463,0.033397602
0.192625063,3.6,-0.932950863,0.192588034,0.132070347,0.182143156,0.06951989
0.191580422,3.5,-1.156049673,0.185793761,0.146097132,0.150777468,0.01885149
0.214456417,3.5,-1.402781839,0.147855659,0.286221937,0.110650465,0.066571392
0.194912092,3.5,-1.233585521,0.074017274,0.165613761,0.191586333,0.035379329
0.211087115,3.4,-1.393363191,0.178583653,0.240383105,0.089951484,0.055622809
0.206008394,3.5,-1.300972422,0.116511812,0.17797076,0.176070516,0.044438342
0.234662489,3.6,-0.755357502,0.167941948,-0.018517677,0.283723751,0.041400739
0.214274382,3.5,-0.72094331,0.042665187,0.129368956,0.144277357,0.051242765
0.168172454,3.3,0.338451833,-0.047268663,-0.093995559,0.307508496,-0.044272852
0.153097417,3.1,0.758285728,-0.118544698,0.133783775,-0.141269134,0.001483803
0.152227057,3.2,0.574864358,0.032115293,0.097143387,-0.08247954,0.052075118
0.191585641,3.4,-0.341934385,0.089089948,0.191913205,-0.002493781,0.051562424
0.197788991,3.4,-1.087741661,0.237552821,0.209313227,0.108975931,0.051008167
0.179455078,3.1,0.775599978,0.106758599,0.133783766,-0.051336551,0.037089225
0.179435118,3.3,1.168330574,-0.15263549,0.091214675,-0.082427259,0.060963712
0.150141241,3,1.250221865,-0.06289398,0.190250624,-0.12191617,0.07347011
0.173395934,2.8,0.823290828,-0.194917267,0.117527015,-0.114739164,0.051331626
0.151155739,2.5,2.768974493,-0.213627533,0.097876671,-0.22197461,0.069205838
0.166329885,2.7,1.78290859,-0.254732351,-0.276327025,0.307103138,-0.065554879
0.170375029,2.7,1.834765801,-0.283983346,0.013225779,-0.014008703,0.016364858
0.153206158,2.6,2.366140082,-0.182977443,0.036985971,-0.077628574,-0.002096134
0.160278511,2.7,1.389205455,-0.053092862,0.10076523,-0.134760603,0.038154805
0.142895342,2.5,1.499153669,-0.180362021,-0.052931804,0.087336833,0.014151343
0.161225417,2.5,1.947837745,-0.133590705,-0.240252024,0.333187893,-0.067828256
0.171386905,2.4,1.716791701,0.006498232,-0.069098143,0.065490276,0.011339785
0.163267911,2.4,2.419479641,-0.217532959,-0.105390629,0.02798614,-0.033321393
0.166323086,2.5,2.419052223,-0.124728968,-0.144302754,0.068837704,0.013249704
0.16403469,2.4,1.829713303,-0.32149851,-0.026576879,-0.020917618,-0.020040008
0.168358069,2.6,1.986381457,-0.20733057,-0.254278129,0.346523568,-0.084312264
0.143035784,2.6,1.419560993,-0.271460678,-0.340955001,0.434894745,-0.075341957
0.182593747,2.5,1.236139678,-0.075671525,0.067886058,0.003010287,0.010748587
