HYDCOND  OBS				
5				
ID				
X				
Y				
HYDCOND				
HYDCOND RES				
-201	3800	12550	201	0
-202	3800	13800	202	0
-203	3800	15050	203	0
-204	3800	16300	204	0
-205	3800	17550	205	0
-206	3800	18800	206	0
-207	3800	20050	207	0
-208	3800	21300	208	0
-209	3800	22550	209	0
-210	3800	23800	210	0
-211	3800	25050	211	0
-212	3800	26300	212	0
-213	3800	27550	213	0
-214	3800	28800	214	0
-215	3800	30050	215	0
-216	5050	50	216	0
-217	5050	1300	217	0
-218	5050	2550	218	0
-219	5050	3800	219	0
-220	5050	5050	220	0
-221	5050	6300	221	0
-222	5050	7550	222	0
-223	5050	8800	223	0
-224	5050	10050	224	0
-225	5050	11300	225	0
-226	5050	12550	226	0
-227	5050	13800	227	0
-228	5050	15050	228	0
-229	5050	16300	229	0
-230	5050	17550	230	0
-231	5050	18800	231	0
-232	5050	20050	232	0
-233	5050	21300	233	0
-234	5050	22550	234	0
-235	5050	23800	235	0
-236	5050	25050	236	0
-237	5050	26300	237	0
-238	5050	27550	238	0
-239	5050	28800	239	0
-240	5050	30050	240	0
-241	6300	50	241	0
-242	6300	1300	242	0
-243	6300	2550	243	0
-244	6300	3800	244	0
-245	6300	5050	245	0
-246	6300	6300	246	0
-247	6300	7550	247	0
-248	6300	8800	248	0
-249	6300	10050	249	0
-250	6300	11300	250	0
-251	6300	12550	251	0
-252	6300	13800	252	0
-253	6300	15050	253	0
-254	6300	16300	254	0
-255	6300	17550	255	0
-256	6300	18800	256	0
-257	6300	20050	257	0
-258	6300	21300	258	0
-259	6300	22550	259	0
-260	6300	23800	260	0
-261	6300	25050	261	0
-262	6300	26300	262	0
-263	6300	27550	263	0
-264	6300	28800	264	0
-265	6300	30050	265	0
-266	7550	50	266	0
-267	7550	1300	267	0
-268	7550	2550	268	0
-269	7550	3800	269	0
-270	7550	5050	270	0
-271	7550	6300	271	0
-272	7550	7550	272	0
-273	7550	8800	273	0
-274	7550	10050	274	0
-275	7550	11300	275	0
-276	7550	12550	276	0
-277	7550	13800	277	0
-278	7550	15050	278	0
-279	7550	16300	279	0
-280	7550	17550	280	0
-281	7550	18800	281	0
-282	7550	20050	282	0
-283	7550	21300	283	0
-284	7550	22550	284	0
-285	7550	23800	285	0
-286	7550	25050	286	0
-287	7550	26300	287	0
-288	7550	27550	288	0
-289	7550	28800	289	0
-290	7550	30050	290	0
-291	8800	50	291	0
-292	8800	1300	292	0
-293	8800	2550	293	0
-294	8800	3800	294	0
-295	8800	5050	295	0
-296	8800	6300	296	0
-297	8800	7550	297	0
-298	8800	8800	298	0
-299	8800	10050	299	0
-300	8800	11300	300	0
-301	8800	12550	301	0
-302	8800	13800	302	0
-303	8800	15050	303	0
-304	8800	16300	304	0
-305	8800	17550	305	0
-306	8800	18800	306	0
-307	8800	20050	307	0
-308	8800	21300	308	0
-309	8800	22550	309	0
-310	8800	23800	310	0
-311	8800	25050	311	0
-312	8800	26300	312	0
-313	8800	27550	313	0
-314	8800	28800	314	0
-315	8800	30050	315	0
-316	10050	50	316	0
-317	10050	1300	317	0
-318	10050	2550	318	0
-319	10050	3800	319	0
-320	10050	5050	320	0
-321	10050	6300	321	0
-322	10050	7550	322	0
-323	10050	8800	323	0
-324	10050	10050	324	0
-325	10050	11300	325	0
-326	10050	12550	326	0
-327	10050	13800	327	0
-328	10050	15050	328	0
-329	10050	16300	329	0
-330	10050	17550	330	0
-331	10050	18800	331	0
-332	10050	20050	332	0
-333	10050	21300	333	0
-334	10050	22550	334	0
-335	10050	23800	335	0
-336	10050	25050	336	0
-337	10050	26300	337	0
-338	10050	27550	338	0
-339	10050	28800	339	0
-340	10050	30050	340	0
-341	11300	50	341	0
-342	11300	1300	342	0
-343	11300	2550	343	0
-344	11300	3800	344	0
-345	11300	5050	345	0
-346	11300	6300	346	0
-347	11300	7550	347	0
-348	11300	8800	348	0
-349	11300	10050	349	0
-350	11300	11300	350	0
-351	11300	12550	351	0
-352	11300	13800	352	0
-353	11300	15050	353	0
-354	11300	16300	354	0
-355	11300	17550	355	0
-356	11300	18800	356	0
-357	11300	20050	357	0
-358	11300	21300	358	0
-359	11300	22550	359	0
-360	11300	23800	360	0
-361	11300	25050	361	0
-362	11300	26300	362	0
-363	11300	27550	363	0
-364	11300	28800	364	0
-365	11300	30050	365	0
-366	12550	50	366	0
-367	12550	1300	367	0
-368	12550	2550	368	0
-369	12550	3800	369	0
-370	12550	5050	370	0
-371	12550	6300	371	0
-372	12550	7550	372	0
-373	12550	8800	373	0
-374	12550	10050	374	0
-375	12550	11300	375	0
-376	12550	12550	376	0
-377	12550	13800	377	0
-378	12550	15050	378	0
-379	12550	16300	379	0
-380	12550	17550	380	0
-381	12550	18800	381	0
-382	12550	20050	382	0
-383	12550	21300	383	0
-384	12550	22550	384	0
-385	12550	23800	385	0
-386	12550	25050	386	0
-387	12550	26300	387	0
-388	12550	27550	388	0
-389	12550	28800	389	0
-390	12550	30050	390	0
-391	13800	50	391	0
-392	13800	1300	392	0
-393	13800	2550	393	0
-394	13800	3800	394	0
-395	13800	5050	395	0
